Neigh #,Neighborhood Name,Assessors Neigh,Vacant Land Sq. Ft. Price,Vacant Vandalized Residential Buildings per Unit,Residential New Construction,Side Lots
9,Lindenwood Park,130,$4.20 ,"$2,000.00 ",$262.50 ,$98.45 
10,Lindenwood Park,131,$3.40 ,"$1,500.00 ",$212.50 ,$79.70 
11,Lindenwood Park,133,$2.60 ,"$1,500.00 ",$162.50 ,$60.95 
12,Lindenwood Park,134,$3.90 ,"$1,500.00 ",$243.75 ,$91.45 
18,Marine Villa,145,$1.50 ,"$1,000.00 ",$93.75 ,$35.20 
,,146,$1.50 ,"$1,000.00 ",$93.75 ,$35.20 
71,Mark Twain,326,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,327,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,328,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,329,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
70,Mark Twain/I-70 Industrial,322,$1.50 ,"$1,000.00 ",$93.75 ,$35.20 
,,323,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,340,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
23,McKinley Heights,247*,$3.00 ,"$1,500.00 ",$187.50 ,$70.35 
,,251*,$3.00 ,"$1,500.00 ",$187.50 ,$70.35 
,,252,$3.00 ,"$1,500.00 ",$187.50 ,$70.35 
37,Midtown,225,$4.50 ,"$2,000.00 ",$281.25 ,$105.50 
,,254,$0.70 ,"$1,000.00 ",$43.75 ,$16.45 
,,255,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
17,Mount Pleasant,101,$1.90 ,"$1,000.00 ",$118.75 ,$44.55 
64,Near N. Riverfront,APPRAISAL,,,,
14,North Hampton,119,$2.80 ,"$1,500.00 ",$175.00 ,$65.65 
,,120,$4.00 ,"$2,000.00 ",$250.00 ,$93.75 
73,North Point,330,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,331,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
79,North Riverfront,APPRAISAL,,,,
68,O'Fallon,304,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,305,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,306,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,312,$0.60 ,"$1,000.00 ",$37.50 ,$14.10 
63,Old North St. Louis,319,$0.60 ,"$1,000.00 ",$37.50 ,$14.10 
,,338,$0.40 ,"$1,000.00 ",$25.00 ,$9.40 
,,341,$0.70 ,"$1,000.00 ",$43.75 ,$16.45 
2,Patch,102,$1.90 ,"$1,000.00 ",$118.75 ,$44.55 
,,136,$1.80 ,"$1,000.00 ",$112.50 ,$42.20 
33,"Peabody, Darst, Webbe",250,$4.30 ,"$2,000.00 ",$268.75 ,$100.80 
69,Penrose,301,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
,,302,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
,,303,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
,,304,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
,,305,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
6,Princeton Heights,121,$3.40 ,"$1,500.00 ",$212.50 ,$79.70 
,,122,$2.90 ,"$1,500.00 ",$181.25 ,$68.00 
,,124,$3.25 ,"$1,500.00 ",$203.10 ,$76.20 
75,Riverview,337,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
27,Shaw,218,$3.70 ,"$1,500.00 ",$231.25 ,$86.75 
,,219,$3.50 ,"$1,500.00 ",$218.75 ,$82.05 
46,Skinker/DeBaliviere,226,$5.20 ,"$2,500.00 ",$325.00 ,$121.90 
,,228,$5.50 ,"$2,500.00 ",$343.75 ,$128.95 
,,270,$5.50 ,"$2,500.00 ",$343.75 ,$128.95 
21,Soulard,248,$5.50 ,"$2,500.00 ",$343.75 ,$128.95 
,,146,$2.80 ,"$1,500.00 ",$175.00 ,$65.65 
7,Southhampton,137,$3.80 ,"$1,500.00 ",$237.50 ,$89.10 
13,Southwest Garden,213,$2.90 ,"$1,500.00 ",$181.25 ,$68.00 
,,214,$2.20 ,"$1,500.00 ",$137.50 ,$51.60 
,,217,$3.60 ,"$1,500.00 ",$225.00 ,$84.40 
8,St. Louis Hills,135,$5.00 ,"$2,500.00 ",$312.50 ,$117.20 
60,St. Louis Place,317,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,316,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,318,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
29,Tiffany,269,$1.50 ,"$1,000.00 ",$93.75 ,$35.20 
25,Tower Grove East,139,$2.80 ,"$1,500.00 ",$175.00 ,$65.70 
,,142,$2.20 ,"$1,500.00 ",$137.50 ,$51.60 
,,243,$3.00 ,"$1,500.00 ",$187.50 ,$70.35 
,,244,$2.00 ,"$1,500.00 ",$125.00 ,$46.90 
15,Tower Grove South,115,$2.30 ,"$1,500.00 ",$143.75 ,$53.95 
,,117,$2.30 ,"$1,500.00 ",$143.75 ,$53.95 
,,138,$3.40 ,"$1,500.00 ",$212.50 ,$79.70 
58,Vandeventer,231,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
,,234,$1.00 ,"$1,000.00 ",$62.50 ,$23.45 
57,"Ville, The",309,$0.65 ,"$1,000.00 ",$40.65 ,$15.25 
,,310,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
49,Visitation Park,237,$1.30 ,"$1,000.00 ",$81.25 ,$30.50 
72,Walnut Park East,323,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
,,326,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
,,327,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
76,Walnut Park West,323,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
,,324,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
,,325,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
50,Wells/Goodfellow,344,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
,,345,$0.90 ,"$1,000.00 ",$56.25 ,$21.10 
,,346,$0.80 ,"$1,000.00 ",$50.00 ,$18.75 
,,347,$0.90 ,"$1,000.00 ",$56.25 ,$21.10 
48,West End,235,$1.20 ,"$1,000.00 ",$75.00 ,$28.15 
,,236,$1.30 ,"$1,000.00 ",$81.25 ,$30.50 
,,237,$1.30 ,"$1,000.00 ",$81.25 ,$30.50 
45,Wydown/Skinker,226,$5.20 ,"$2,500.00 ",$325.00 ,$121.90 
],,,,,,
